lv_string_id	english	chinese	french	german	japanese	italian	spanish	russian
STR_SEARCH_BT	Search Bluetooth	搜索蓝牙	Rechercher Bluetooth	Suchen Sie nach Bluetooth	Bluetoothを検索	Cerca Bluetooth	Buscar Bluetooth	Поиск Bluetooth
STR_BT_DEVICE	Device name	设备名称	Nom de l’appareil	Gerätename	装置名	Nome del dispositivo	Nombre del dispositivo	Имя устройства
STR_BT_MY_DEV	Paired devices	已配对设备	L’appareil est jumelé	Gekoppelte Geräte	ペアリングされたデバイス	Dispositivi accoppiati	Dispositivos vinculados	Сопряженные устройства
STR_BT_OTHER_DEV	Available devices	可用的设备	Appareils disponibles	Verfügbare Geräte	利用可能なデバイス	Dispositivi disponibili	Dispositivos disponibles	Доступные устройства
STR_NO_BT	No Device	无设备	No Device	Kein Gerät	デバイスなし	Nessun dispositivo	Sin dispositivo	Нет устройства
STR_BT_CONN	Connected	已连接	Connecté	In Verbindung gebracht	接続済み	Collegato	Conectado	Связанный
STR_BT_DISCONN	Disconnected	未连接	Non connecté	Getrennt	切断されました	Disconnesso	Desconectado	Отключено
STR_BT_DISCONNECTING	Disconnecting	正在断开...	Enregistré	Gerettet	保存されました	Salvato	Salvado	Сохранено
STR_BT_SAVED	Saved	已保存	Disconnect	Trennen	切断する	Disconnetti	Desconectar	Отключить
STR_BT_MAKE_DISCONN	Disconnect	断开	Connect	Verbinden	接続	Collegare	Conectar	Соединять
STR_BT_MAKE_CONN	Connect	连接	connecté	Verbinden	接続中	Collegamento	Conectando	Подключение
STR_WIFI_SEARCHING	Searching	正在搜索	Rechercher	Suchen	検索中	Ricerca	buscando	Идет поиск
STR_WIFI_DEVICE_ABNORMAL	WiFi is abnormal or not ready, please check or try again	WiFi异常或者初始化中，请检查或稍后再试	Le WiFi est anormal ou n’est pas prêt, veuillez vérifier ou réessayer	Das WLAN ist abnormal oder nicht bereit. Bitte überprüfen Sie es oder versuchen Sie es erneut	WiFi が異常であるか、準備ができていません。確認するか、もう一度お試しください。	Il WiFi è anomalo o non è pronto, controlla o riprova	WiFi es anormal o no está listo, verifique o intente nuevamente	Wi-Fi работает ненормально или не готов, проверьте или повторите попытку.
STR_WIFI_NO_DEVICE	No wifi device	无网络设备	pas de \n périphérique réseau	Kein WLAN-Gerät	Wi-Fi デバイスがありません	Nessun dispositivo Wi-Fi	Sin dispositivo wifi	Нет Wi-Fi устройства
STR_WIFI_PWD_NULL	password cannot be null	密码不能为空	mot de passe ne peut pas être vide	Das Passwort darf nicht null sein	パスワードを null にすることはできません	la password non può essere nulla	la contraseña no puede ser nula	пароль не может быть нулевым
STR_WIFI_CONN_SUCCESS	Connection success!	连接成功！	Connexion réussie!	Verbindungserfolg!	接続成功！	Connessione riuscita!	¡Conexión exitosa!	Подключение успешно!
STR_WIFI_CONN_FAILED	Connection failed!	连接失败！	échec de la connexion!	Verbindung fehlgeschlagen!	接続に失敗しました！	Connessione fallita!	¡La conexión falló!	Ошибка подключения!
STR_WIFI_RE_ENTER_PWD	Re-enter the password?	重输入密码？	Retaper le mot de passe?	Passwort erneut eingeben?	パスワードを再入力しますか?	Reinserire la password?	¿Volver a introducir la contraseña?	Повторно ввести пароль?
STR_PROMPT_YES	Yes	是	Yes	Ja	はい	SÌ	Sí	Да
STR_PROMPT_NO	No	否	NO	NEIN	いいえ	NO	No	Нет
STR_ENTER_WORD	Enter the password for 8 to 63 bits	请输入8到63位密码	Entrez le mot de passe de 8 à 63 chiffres	Geben Sie das Passwort für 8 bis 63 Bit ein	8～63ビットのパスワードを入力してください	Immettere la password da 8 a 63 bit	Introduzca la contraseña de 8 a 63 bits	Введите пароль от 8 до 63 бит
STR_WIFI_SSID_NULL	SSID cannot be null	SSID 不能为空	SSID ne peut pas être vide	SSID darf nicht null sein	SSID を null にすることはできません	L'SSID non può essere nullo	SSID no puede ser nulo	SSID не может быть нулевым
STR_WIFI_SSID_TOO_LONG	SSID should be less than 64 bits	SSID应该小于64位	le SSID doit être inférieur à 64 bits	Die SSID sollte weniger als 64 Bit betragen	SSID は 64 ビット未満である必要があります	L'SSID deve essere inferiore a 64 bit	SSID debe ser inferior a 64 bits	SSID должен быть меньше 64 бит
STR_WIFI_CANCEL	Cancel	取消	Annuler	Stornieren	キャンセル	Annulla	Cancelar	Отмена
STR_BT_DELETE	Delete	忽略	Ignorer	Löschen	消去	Eliminare	Borrar	Удалить
STR_OSD_LANG_TITLE	OSD Language	OSD语言	Langue OSD	OSD-Sprache	OSD言語	Lingua dell'OSD	Idioma OSD	Язык экранного меню
STR_OSD_LANG	OSD Language	语言设置	OSD Langue	OSD-Sprache	OSD言語	Lingua dell'OSD	Idioma OSD	Язык экранного меню
STR_FLIP	Projection Mode	投屏模式	Mode de Projection	Projektionsmodus	投影モード	Modalità Proiezione	Modo de Proyección	Режим проекции
STR_ASPECT_RATIO	Aspect Ratio	画面比例	Ratio d'aspect	Seitenverhältnis	アスペクト比	Rapporto d'aspetto	Relación de Aspecto	Соотношение сторон
STR_RESTORE_FACTORY_DEFAULT	Factory Setting Reset	恢复出厂设置	Retour aux paramètres d'usine	Werkseinstellungen zurückgesetzt	工場出荷時設定リセット	Ripristino delle impostazioni di fabbrica	Restablecimiento configuración de fábrica	Сброс к заводским настройкам
STR_UPGRADE	Software Upgrade	软件升级	Mise à jour logicielle	Software Upgrade	ソフトウェア・更新	Aggiornamento Software	Actualización de Software	Обновление программного обеспечения
STR_UPGRADE_NOT_POWER_OFF	Upgrading please do not\npower off	正在升级，请勿断电	Mise à niveau, ne \npas éteindre	Bitte nicht aktualisieren.\nAusschalten	アップグレード中は電源を切らないでください\n	Aggiornamento, non\nspegnere	Actualizando, por favor no apague	Обновление, пожалуйста,\nне выключайте питание
STR_UPGRADE_DOWNLOADING	Download...	下载中...	téléchargement en cours...	Herunterladen...	ダウンロード...	Scaricamento...	Descargar...	Скачать...
STR_UPGRADEING	Upgrading...	升级中...	en cours de mise à niveau	Aktualisieren...	アップグレード...	Aggiorna...	Actualizar...	Обновить...
STR_AUTO_SLEEP	Auto Sleep	自动休眠	Veille Automatique	Automatischer Schlaf	オートスリープ	Sospensione Automatica	Suspensión Auto	Автоматический сон
STR_OSD_TIMER	OSD Timer	菜单显示时间	Minuterie OSD	OSD Timer	OSDタイマー	Timer dell'OSD	Temporizador OSD	Таймер экранного меню
STR_UPGRADE_NO_DEV	Please Insert USB!	请插入USB！	s'il vous plaît insérer USB!	Bitte USB einstecken!	USBを挿入してください！	Si prega di inserire USB!	¡Por favor, inserte el USB!	Пожалуйста, вставьте USB!
STR_UPGRADE_NO_SOFTWATE	Please Provide The \n Upgrade File!	请提供升级文件！	s'il vous plaît fournir \n les fichiers de mise à jour!	Bitte geben Sie die \n Upgrade-Datei an!	\n アップグレード ファイルを提供してください。	Si prega di fornire il \n file di aggiornamento!	Proporcione el archivo \n de actualización.	Пожалуйста, предоставьте файл обновления \n!
STR_UPGRADE_LOAD_ERR	load file err!	载入文件错误！	erreur de chargement du fichier!	Fehler beim Laden der Datei!	ファイルの読み込みエラー!	carica file err!	error de carga de archivo!	ошибка загрузки файла!
STR_UPGRADE_CRC_ERR	crc err!	校验错误！	erreur de vérification!	crc irrt!	crc エラー!	crc errore!	error crc!	crc ошибка!
STR_UPGRADE_VERSION_ERR	version err!	版本错误！	erreur de version	Versionsfehler!	バージョンが間違っています!	errore di versione!	error de versión!	ошибка версии!
STR_UPGRADE_DECO_ERR	decompress err!	解压缩错误！	erreur de décompression!	Dekomprimieren, Fehler!	解凍エラー！	decomprimere err!	descomprimir error!	распаковать ошибку!
STR_UPGRADE_ERR	upgrade err	升级错误！	erreur de mise à jour!	Upgrade-Fehler	アップグレードエラー	aggiornamento errore	error de actualización	ошибка обновления
STR_UPGRADE_SUCCESS_MSG1	upgrade success, reboot	升级成功，	Mise à niveau réussie, redémarrage 	Upgrade erfolgreich, Neustart	アップグレード成功、再起動	aggiornamento riuscito, riavvio	actualización exitosa, reiniciar	обновление успешное, перезагрузить
STR_UPGRADE_SUCCESS_MSG2	s later	s后重启	s plus tard	s später	後ほど	s più tardi	s más tarde	позже
STR_KEYSTONE	Keystone	梯形校正	Keystone	Trapezkorrektur	台形	Chiave di volta	Keystone	Краеугольный камень
STR_VERSION_INFO	Version Info	版本信息	Information de Version	Versions Information	バージョン情報	Info Versione	Información de Versión	Информация о версии
STR_PICTURE_MODE_TITLE	Picture	图像	Image	Bild	画像	Immagine	Imagen	Картина
STR_SOUND_MODE_TITLE	Sound	声音	Sound	Klang	音	Suono	Sonido	Звук
STR_OPTION_MODE_TITLE	System	系统	Système	System	システム	Sistema	Sistema	Система
STR_ADJUST_MODE_TITLE	Adjust	调节	Adjust	Anpassen	調整	Regolare	Ajustar	Регулировать
STR_FOOT_SURE	Enter	确定	Entrer	Eingeben	入力	accedere	Ingresar	Входить
STR_FOOT_MENU	Menu	菜单	Menu	Zurück	戻る	Menù	Menú	Меню
STR_FOOT_MOVE	Move	移动	Move	Umzug	動く	Mossa	Mover	Двигаться
STR_FOOT_OFF	Off	离开	off	Aus	オフ	Spento	Apagado	Выключенный
STR_MOVIE	Movie	电影	Film	Film	動画	Film	Película	Фильм
STR_MUSIC	Music	音乐	Musique	Musik	音楽	Musique	Música	Музыка
STR_PHOTO	Photo	照片	Photo	Foto	写真	Foto	Foto	Фото
STR_TEXT	TXT	电子书	TXT	TXT	書籍	TXT	TXT	Книга
STR_BACK	Back	返回	Back	Zurück	戻る	Indietro	Atrás	Назад
STR_PLAY	Play	播放	Jouer	Spielen	再生	Giocare	Jugar	Играть
STR_PAUSE	Pause	暂停	Pause	Pause	一時停止	Pausa	Pausa	Пауза
STR_STOP	Stop	停止	Arrêt	Stoppen	停止	Fermare	Detener	Останавливаться
STR_FF	FF	快进	FF	FF	FF	FF	FF	ФФ
STR_FB	FB	快退	FB	FB	FB	FB	FB	ФБ
STR_NEXT	Next	下一曲	Suivant	Nächste	次	Prossimo	Próximo	Следующий
STR_PREV	Prev	上一曲	Précédent	Vorher	前へ	Prec	Anterior	Пред.
STR_ROUND	Round	列表循环	Round	Runden	循環	Girare	Redondo	Круглый
STR_LISTROUND	Round	列表循环	Round	Runden	循環	Girare	Redondo	Круглый
STR_SINGLEROUND	Single	单曲循环	Single	Einzel	独身	Separare	Soltero	Одинокий
STR_ZOOMIN	Zoom+	放大	Zoom+	Zoom+	ズーム+	Zoom+	Zoom+	Зум+
STR_ZOOMOUT	Zoom-	缩小	Zoom-	Zoom-	ズーム-	Zoom-	Zoom-	Увеличить-
STR_ROTATE_LEFT	Left	逆时针	Gauche	Links	左	Sinistra	Izquierda	Левый
STR_ROTATE_RIGHT_K	Right	顺时针	Droit	Rechts	右	Giusto	Derecho	Верно
STR_NO_EFFECT	Effect	无特效	Effect	Wirkung	効果	Effetto	Efecto	Эффект
STR_NOR_EFFECT	Normal	普通	Normal	Normal	普通	Normale	Normal	Нормальный
STR_SHUTTER_EFFECT	Shutter	百叶窗	Shutter	Verschluss	シャッター	Otturatore	Obturador	Затвор
STR_BRUSH_EFFECT	Brush	飞入	Brush	Bürste	みがきます	Spazzola	Cepillar	Щетка
STR_SLIDE_EFFECT	Slide	滑动	Slide	Gleiten	滑り台	Diapositiva	Deslizar	Горка
STR_RAND_EFFECT	Random	随机	Aléatoire	Willkürlich	ランダム	Casuale	Aleatorio	Случайный
STR_FADE_EFFECT	Fade	消失	Disparaît	Verblassen	フェード	Dissolvenza	Desteñir	Тускнеть
STR_FILE_FAIL	Open File Fail	打开文件失败	échec de l'ouverture du fichier	Fehler beim Öffnen der Datei	ファイルを開くのに失敗しました	Apertura file non riuscita	Error al abrir archivo	Ошибка открытия файла
STR_AUDIO_USPT	Audio Track Unsupport	音频轨道不支持	piste Audio non supportée	Audiospur wird nicht unterstützt	オーディオトラックの非サポート	Traccia audio non supportata	No se admite la pista de audio	Аудиодорожка не поддерживается
STR_VIDEO_USPT	Video Track Unsupport	视频轨道不支持	piste vidéo non prise en charge	Videospur wird nicht unterstützt	ビデオトラックの非サポート	Traccia video non supportata	Pista de video no compatible	Видеодорожка не поддерживается
STR_USPT_VIDEO_TYPE	Unsupport Video Type	视频类型不支持	Video Type not supported	Videotyp wird nicht unterstützt	サポートされていないビデオタイプ	Tipo di video non supportato	Tipo de video no compatible	Неподдерживаемый тип видео
STR_USPT_AUDIO_TYPE	Unsupport Audio Type	音频类型不支持	Type Audio non supporté	Audiotyp wird nicht unterstützt	サポートされていないオーディオ タイプ	Tipo di audio non supportato	Tipo de audio no compatible	Неподдерживаемый тип аудио
STR_AUDIO_ERROR	Audio Decode Error	音频解码失败	échec du décodage Audio	Fehler bei der Audiodekodierung	オーディオデコードエラー	Errore di decodifica audio	Error de decodificación de audio	Ошибка декодирования аудио
STR_VIDEO_ERROR	Video Decode Error	视频解码失败	échec de décodage Vidéo	Video-Dekodierungsfehler	ビデオデコードエラー	Errore di decodifica video	Error de decodificación de video	Ошибка декодирования видео
STR_PIC_ERROR	Picture Decode Error	图片解码失败	échec de décodage d'image	Bilddekodierungsfehler	画像デコードエラー	Errore di decodifica dell'immagine	Error de decodificación de imagen	Ошибка декодирования изображения
STR_HDMI_TITLE1	HDMI1	高清1	HDMI1	HDMI1	HDMI1	HDMI1	HDMI1	HDMI1
STR_HDMI_TITLE2	HDMI2	高清2	HDMI2	HDMI2	HDMI2	HDMI2	HDMI2	HDMI2
STR_HDMI_TITLE	HDMI	高清	HDMI	HDMI	HDMI	HDMI	HDMI	HDMI
STR_MEDIA_TITLE	Media	多媒体	Médias	Medien	メディア	Media	Medios	СМИ
STR_AV_TITLE	AV	视频	AV	EIN V	AV	AV	AV	средний
STR_HOME_TITLE	Home	主页	Home	Heim	家	Casa	Hogar	Дом
STR_SETTING_TITLE	Setting	设置	Paramètres	Einstellung	設定	Impostazione	Configuración	Параметр
STR_IPTV_YTB	YouTube	YouTube	YouTube	Youtube	YouTube	Youtube	YouTube	YouTube
STR_HELP_TITLE	Help	帮助	Help	Hilfe	ヘルプ	Aiuto	Ayuda	Помощь
STR_CHANNEL_TITLE	Source	信号源	Source	Quelle	ソース	Fonte	Fuente	Источник
STR_WIFI_TITLE	WiFi	WiFi	WiFi	WiFi	WiFi	WiFi	WiFi	WiFi
STR_WIRED_TITLE	Wired Screen	有线同屏	Wired Screen	Kabelgebundene\nProjektion	有線スクリーン	Schermo cablato	Wired Screen	Проводной экран
STR_WIRELESS_TITLE	Wireless\nScreen	无线同屏	Wireless Screen	Drahtlose\nProjektion	無線スクリーン	Schermo wireless	Wireless Screen	Беспроводной\nэкран
STR_OFF	Off	关	Off	Aus	オフ	Spento	Apagado	Выключенный
STR_ON	On	开	On	An	オン	SU	En	На
STR_STANDARD	Standard	标准	Standard	Standard	標準	Di serie	Estándar	Стандарт
STR_DYNAMIC	Dynamic	动态	Dynamique	Dynamisch	動的	Dinamico	Dinámica	Динамический
STR_MILD	Mild	温和	Doux	Weich	マイルド	Mite	Suave	Мягкий
STR_USER	User	用户	Utilisateur	Benutzer	ユーザー	Utente	Usuario	Пользователь
STR_COLD	Cold	冷色温	Froid	cooler Ton	寒色	Freddo	Frío	Холодный
STR_WARM	Warm	暖色温	Chaud	warmer Ton	暖色	Caldo	Cálido	Теплый
STR_SPORTS	Sports	运动	Sports	Sport	スポーツ	Gli sport	Deportes	Виды спорта
STR_ENGLISH	English	英语	Anglais	Englisch	英語	Inglese	Inglés	Английский
STR_CHINESE	Chinese	中文	Chinois	Chinesisch	中国語	Cinese	Chino	Китайский
STR_FRONT_TABLE	Front Projection	桌上正投	Avant sur Table	Frontprojektion	正面投影	Tavolo Anteriore	Proyección Frontal	Передний стол
STR_FRONT_CEILING	Ceiling Front Projection	吊装正投	Avant au Plafond 	Decken-Frontprojektion	天井正面投影	Soffitto Anteriore	Proyección Frontal de techo	Передний потолок
STR_BACK_TABLE	Rear Projection	桌上背投	Arrière sur Tableau	Rückprojektion	背面投影	Tavolo Posteriore	Proyección Trasera	Задний стол
STR_BACK_CEILING	Ceiling Rear Projection	吊装背投	Arrière au Plafond	Deckenrückprojektion	天井背面投影	Soffitto posteriore	Proyección Trasera de techo	Назад Потолок
STR_RESTORE_OK_1	Ok	确定	Ok	OK	Ok	OK	De acuerdo	Хорошо
STR_RESTORE_OK_2	Ok?	确定?	Ok?	OK?	Ok？	OK?	¿De acuerdo?	Хорошо?
STR_RESTORE_CLOSE	Close	关闭	Close	Schließen	近い	Vicino	Cerca	Закрывать
STR_OSD_TIME_5S	5s	5秒	5s	5s	5秒	5s	5s	5 с
STR_OSD_TIME_10S	10s	10秒	10s	10s	10代	10s	10s	10 с
STR_OSD_TIME_15S	15s	15秒	15s	15s	15秒	15s	15s	15 с
STR_OSD_TIME_20S	20s	20秒	20s	20s	20代	20s	20s	20 с
STR_OSD_TIME_25S	25s	25秒	25s	25s	25秒	25s	25s	25 с
STR_OSD_TIME_30S	30s	30秒	30s	30s	30代	30s	30s	30 с
STR_AUTO_SLEEP_1H	60m	60分钟	60m	60m	60m	60m	60m	60м
STR_AUTO_SLEEP_2H	120m	120分钟	120m	120m	120m	120m	120m	120м
STR_AUTO_SLEEP_3H	180m	180分钟	180m	180m	180m	180m	180m	180м
STR_INPUT_SOURCE	Source	信号源	Source	Quelle	ソース	Fonte	Fuente	Источник
STR_VOLUME	Volume	声音	Son	Volumen	音量	Volume	Volumen	Объем
STR_LIST	List	播放列表	List	Aufführen	リスト	Elenco	Lista	Список
STR_INFO	INFO	信息	INFO	DIE INFO	情報	INFORMAZIONI	INFORMACIÓN	ИНФОРМАЦИЯ
STR_SF	SF	慢放	SF	SF	SF	SF	SF	СФ
STR_STEP	STEP	步进	STEP	SCHRITT	ステップ	FARE UN PASSO	PASO	ШАГ
STR_INFO_RES	Resolution:	分辨率:	Résolution :	Auflösung:	解決：	Risoluzione:	Resolución:	Разрешение:
STR_INFO_FRAME	Frame:	帧数:	Cadres:	Rahmen:	フレーム：	Telaio:	Marco:	Рамка:
STR_INFO_AUDIO	Audio:	音轨:	Pistes :	Audio:	オーディオ：	Audio:	Audio:	Аудио:
STR_INFO_SUBTITLE	Subtitle:	字幕:	Sous-titres	Untertitel:	字幕：	Sottotitolo:	Subtitular:	Подзаголовок:
STR_INFO_SIZE	Size:	大小:	Size:	Größe:	サイズ：	Misurare:	Tamaño:	Размер:
STR_INFO_ALBUM	Album:	专辑:	Album:	Album:	アルバム：	Album:	Álbum:	Альбом:
STR_INFO_ARTIST	Artist:	艺术家:	Artist:	Künstler:	アーティスト：	Artista:	Artista:	Художник:
STR_INFO_BIT	Bitrate:	码率:	Débit:	Bitrate:	ビットレート:	Velocità in bit:	Tasa de bits:	Битрейт:
STR_INFO_EXIT	Exit	退出	Sortie	Ausfahrt	出口	Uscita	Salida	Выход
STR_PANEL_CLOSE	Close	关闭屏幕	Close	Schließen	近い	Vicino	Cerca	Закрывать
STR_MUTE	Mute	静音	Mute	Stumm	無音	Muto	Silenciar	Немой
STR_MUSIC_OFF	OFF	关闭音乐	Off	Aus	オフ	Spento	Off	ВЫКЛЮЧЕННЫЙ
STR_MUSIC_ON	ON	打开音乐	On	An	オン	SU	On	НА
STR_MUSIC_SRC	Source	音乐资源	Source	Quelle	ソース	Fonte	Fuente	Источник
STR_FILE_DATE	Date:	日期:	Date:	Datum:	日にち：	Data:	Fecha:	Дата:
STR_FILE_TIME	Time:	时间:	Time:	Zeit:	時間：	Tempo:	Tiempo:	Время:
STR_SETUP	Ratio	画面比例	Ratio	Verhältnis	比	Rapporto	Relación	Соотношение
STR_ASPECT_AUTO	Auto	自动	Auto	Auto	自動	Auto	Auto	Авто
STR_ASPECT_4_3	4:3	4:3	4:3	4:3	4:3	4:3	4:3	4:3
STR_ASPECT_16_9	16:9	16:9	16:9	16:9	16:9	16:9	16:9	16:9
STR_USB_MOUNT_FAIL_MSG	Mount failed	挂载失败	Mount failed	Die Montage ist fehlgeschlagen	マウントに失敗しました	Montaggio fallito	Montaje fallido	Ошибка монтирования
STR_NETWORK_ERR	Network Error!	网络错误！	Erreur Réseau!	Netzwerkfehler!	ネットワークエラー！	Errore di rete!	¡Error de red!	Ошибка сети!
STR_CONNECT_WIFI_FAIL	Connect WiFi fail!	连接WiFi出错！	Erreur de connexion WiFi!	WLAN-Verbindung fehlgeschlagen!	WiFi の接続に失敗しました!	Connessione Wi-Fi fallita!	Fallo de conexion WiFi!	Подключить WiFi не удается!
STR_CONNECT_WIFI_FIRST	Please connect WiFi first!	请先连接WiFi！	Veuillez d'abord vous connecter au WiFi!	Bitte verbinden Sie zuerst WLAN!	まず WiFi を接続してください。	Si prega di collegare prima il WiFi!	¡Por favor conecte WiFi primero!	Сначала подключите Wi-Fi!
STR_VIDEO_DATA_ERR	Video data decoding error!	视频数据解码错！	Les données vidéo sont mal décodées!	Fehler bei der Dekodierung der Videodaten!	ビデオデータのデコードエラー!	Errore di decodifica dei dati video!	¡Error de decodificación de datos de video!	Ошибка декодирования видеоданных!
STR_AUDIO_DATA_ERR	audio data decoding error!	音频数据解码错！	Les données audio sont mal décodées!	Fehler bei der Dekodierung der Audiodaten!	音声データのデコードエラーです！	errore di decodifica dei dati audio!	¡Error de decodificación de datos de audio!	ошибка декодирования аудиоданных!
STR_VIDEO_FORMAT_NOT_SUPPORT	Video format not support!	视频格式不支持！	Le format vidéo n'est pas pris en charge!	Videoformat wird nicht unterstützt!	ビデオ形式はサポートされていません!	Formato video non supportato!	¡El formato de video no es compatible!	Формат видео не поддерживает!
STR_AUDIO_FORMAT_NOT_SUPPORT	Audio format not support!	音频格式不支持！	Le format audio n'est pas pris en charge!	Audioformat wird nicht unterstützt!	オーディオ形式はサポートされていません!	Formato audio non supportato!	¡El formato de audio no es compatible!	Аудио формат не поддерживает!
STR_WIFI_DISCONNECT	Wifi Disconnect!	WiFi断开连接！	WiFi déconnecté!	WLAN-Verbindung unterbrochen!	Wi-Fiが切断されました！	Wi-Fi Disconnettiti!	¡Desconexión Wifi!	Отключить Wi-Fi!
STR_MEDIA_CONTAINER_NOT_SUPPORT	Media(container) not support!	媒体容器不支持！	Le conteneur média n'est pas pris en charge!	Medien (Container) werden nicht unterstützt!	メディア(コンテナ)はサポートされていません!	Supporto (contenitore) non supportato!	¡Los medios (contenedores) no son compatibles!	Носитель (контейнер) не поддерживается!
STR_WIFI_SAVED	Saved WI-FI	已保存WI-FI	WI-FI enregistré	WLAN gespeichert	保存されたWi-Fi	Wi-Fi salvato	WIFI guardado	Сохраненный WI-FI
STR_WIFI_NEARBY	Nearby WI-FI	附近的WI-FI	Wi-Fi proche	WLAN in der Nähe	近くのWi-Fi	WI-FI nelle vicinanze	WIFI cercano	Ближайший WI-FI
STR_WIFI_SEARCH	Search	搜索	Search	Suchen	検索	Ricerca	Buscar	Поиск
STR_WIFI_ADD	Add Net	添加网络	Ajouter	Netz hinzufügen	ネットを追加	Aggiungi rete	Agregar red	Добавить сеть
STR_WIFI_RET	Home	主页	Home	Heim	家	Casa	Hogar	Дом
STR_WIFI_STRENGTH	Signal Strength	信号强度	Signal Force	Signalstärke	シグナル強度	La potenza del segnale	Intensidad de señal	Сила сигнала
STR_WIFI_SECURITY	Security	安全	Sécurité	Sicherheit	安全	Sicurezza	Seguridad	Безопасность
